date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/28  05:01:00,0.00,0,280.00,-11.40,0.00,0,280.00,-11.40
08/28  05:01:00,8.62,0,280.00,-11.40,8.39,0,280.00,-11.40
08/28  05:01:00,9.27,0,280.00,-11.40,6.43,0,280.00,-11.40
08/28  05:01:00,6.42,0,280.00,-11.40,9.55,0,280.00,-11.40
08/28  05:01:00,10.37,0,280.00,-11.40,6.99,0,280.00,-11.40
08/28  05:01:00,8.28,0,280.00,-11.40,9.83,0,280.00,-11.40
08/28  05:01:00,7.25,0,280.00,-11.40,4.43,0,280.00,-11.40
08/28  05:01:00,10.76,0,280.00,-11.40,8.04,0,280.00,-11.40
08/28  05:01:00,6.16,0,280.00,-11.40,7.79,0,280.00,-11.40
08/28  05:01:00,8.53,0,280.00,-11.40,5.85,0,280.00,-11.40
08/28  05:01:00,9.68,0,280.00,-11.40,6.63,0,280.00,-11.40
08/28  05:01:00,6.24,0,280.00,-11.40,8.59,0,280.00,-11.40
08/28  05:01:00,6.62,0,280.00,-11.40,3.90,0,280.00,-11.40
08/28  05:01:00,10.50,0,280.00,-11.40,7.46,0,280.00,-11.40
08/28  05:01:00,6.43,0,280.00,-11.40,6.65,0,280.00,-11.40
08/28  05:01:00,10.75,0,280.00,-11.40,6.88,0,280.00,-11.40
08/28  05:01:00,9.38,0,280.00,-11.40,9.73,0,280.00,-11.40
08/28  05:01:00,5.04,0,280.00,-11.40,9.11,0,280.00,-11.40
08/28  05:01:00,10.29,0,280.00,-11.40,7.70,0,280.00,-11.40
08/28  05:01:00,6.83,0,280.00,-11.40,3.59,0,280.00,-11.40
08/28  05:01:00,9.84,0,280.00,-11.40,6.23,0,280.00,-11.40
08/28  05:01:00,6.33,0,280.00,-11.40,9.68,0,280.00,-11.40
08/28  05:01:00,5.29,0,280.00,-11.40,8.64,0,280.00,-11.40
08/28  05:01:00,6.21,0,280.00,-11.40,9.53,0,280.00,-11.40
08/28  05:01:00,9.39,0,280.00,-11.40,5.69,0,280.00,-11.40
08/28  05:01:00,6.02,0,280.00,-11.40,8.72,0,280.00,-11.40
08/28  05:01:00,9.78,0,280.00,-11.40,6.08,0,280.00,-11.40
08/28  05:01:00,9.21,0,280.00,-11.40,5.83,0,280.00,-11.40
08/28  05:01:00,8.27,0,280.00,-11.40,6.74,0,280.00,-11.40
08/28  05:01:00,10.33,0,280.00,-11.40,7.47,0,280.00,-11.40
08/28  05:01:00,6.57,0,280.00,-11.40,5.49,0,280.00,-11.40
08/28  05:01:00,10.52,0,280.00,-11.40,7.00,0,280.00,-11.40
08/28  05:01:00,4.45,0,280.00,-11.40,8.30,0,280.00,-11.40
08/28  05:01:00,7.17,0,280.00,-11.40,4.12,0,280.00,-11.40
08/28  05:01:00,8.96,0,280.00,-11.40,6.09,0,280.00,-11.40
08/28  05:01:00,10.61,0,280.00,-11.40,7.53,0,280.00,-11.40
08/28  05:01:00,5.63,0,280.00,-11.40,8.18,0,280.00,-11.40
08/28  05:01:00,9.66,0,280.00,-11.40,9.77,0,280.00,-11.40
08/28  05:01:00,9.02,0,280.00,-11.40,9.76,0,280.00,-11.40
08/28  05:01:00,6.65,0,280.00,-11.40,6.79,0,280.00,-11.40
08/28  05:01:00,8.51,0,280.00,-11.40,5.60,0,280.00,-11.40
08/28  05:01:00,9.52,0,280.00,-11.40,6.08,0,280.00,-11.40
08/28  05:01:00,10.07,0,280.00,-11.40,7.51,0,280.00,-11.40
08/28  05:01:00,7.09,0,280.00,-11.40,5.02,0,280.00,-11.40
08/28  05:01:00,6.43,0,280.00,-11.40,8.54,0,280.00,-11.40
08/28  05:01:00,10.17,0,280.00,-11.40,9.13,0,280.00,-11.40
08/28  05:01:00,9.64,0,280.00,-11.40,6.38,0,280.00,-11.40
08/28  05:01:00,9.74,0,280.00,-11.40,6.49,0,280.00,-11.40
08/28  05:01:00,9.07,0,280.00,-11.40,5.89,0,280.00,-11.40
08/28  05:01:00,10.61,0,280.00,-11.40,7.79,0,280.00,-11.40
08/28  05:01:00,8.47,0,280.00,-11.40,7.87,0,280.00,-11.40
08/28  05:01:00,10.29,0,280.00,-11.40,6.75,0,280.00,-11.40
08/28  05:01:00,7.38,0,280.00,-11.40,4.91,0,280.00,-11.40
08/28  05:01:00,6.16,0,280.00,-11.40,9.43,0,280.00,-11.40
08/28  05:01:00,11.12,0,280.00,-11.40,7.76,0,280.00,-11.40
08/28  05:01:00,9.43,0,280.00,-11.40,6.27,0,280.00,-11.40
08/28  05:01:00,6.61,0,280.00,-11.40,4.46,0,280.00,-11.40
08/28  05:01:00,4.85,0,280.00,-11.40,9.02,0,280.00,-11.40
08/28  05:01:00,10.61,0,280.00,-11.40,8.38,0,280.00,-11.40
08/28  05:01:00,8.87,0,280.00,-11.40,5.70,0,280.00,-11.40
08/28  05:01:00,9.08,0,280.00,-11.40,6.75,0,280.00,-11.40
08/28  05:01:00,10.56,0,280.00,-11.40,7.76,0,280.00,-11.40
08/28  05:01:00,6.79,0,280.00,-11.40,4.04,0,280.00,-11.40
08/28  05:01:00,6.08,0,280.00,-11.40,9.78,0,280.00,-11.40
08/28  05:01:00,9.42,0,280.00,-11.40,5.41,0,280.00,-11.40
08/28  05:01:00,6.53,0,280.00,-11.40,9.54,0,280.00,-11.40
08/28  05:01:00,5.81,0,280.00,-11.40,8.42,0,280.00,-11.40
08/28  05:01:00,9.65,0,280.00,-11.40,6.10,0,280.00,-11.40
08/28  05:01:00,10.49,0,280.00,-11.40,9.01,0,280.00,-11.40
08/28  05:01:00,9.27,0,280.00,-11.40,6.56,0,280.00,-11.40
08/28  05:01:00,8.18,0,280.00,-11.40,5.50,0,280.00,-11.40
08/28  05:01:00,6.79,0,280.00,-11.40,4.53,0,280.00,-11.40
08/28  05:01:00,5.15,0,280.00,-11.40,8.91,0,280.00,-11.40
08/28  05:01:00,7.53,0,280.00,-11.40,4.56,0,280.00,-11.40
08/28  05:01:00,8.94,0,280.00,-11.40,6.04,0,280.00,-11.40
08/28  05:01:00,9.52,0,280.00,-11.40,6.52,0,280.00,-11.40
08/28  05:01:00,9.24,0,280.00,-11.40,6.41,0,280.00,-11.40
08/28  05:01:00,7.70,0,280.00,-11.40,4.95,0,280.00,-11.40
08/28  05:01:00,6.63,0,280.00,-11.40,7.45,0,280.00,-11.40
08/28  05:01:00,6.58,0,280.00,-11.40,7.99,0,280.00,-11.40
08/28  05:01:00,6.47,0,280.00,-11.40,7.79,0,280.00,-11.40
08/28  05:01:00,8.26,0,280.00,-11.40,5.51,0,280.00,-11.40
08/28  05:01:00,9.56,0,280.00,-11.40,7.98,0,280.00,-11.40
08/28  05:01:00,6.14,0,280.00,-11.40,9.30,0,280.00,-11.40
08/28  05:01:00,8.16,0,280.00,-11.40,5.14,0,280.00,-11.40
08/28  05:01:00,5.66,0,280.00,-11.40,9.19,0,280.00,-11.40
08/28  05:01:00,9.33,0,280.00,-11.40,6.10,0,280.00,-11.40
08/28  05:01:00,6.05,0,280.00,-11.40,9.59,0,280.00,-11.40
08/28  05:01:00,5.58,0,280.00,-11.40,9.05,0,280.00,-11.40
08/28  05:01:00,10.45,0,280.00,-11.40,7.23,0,280.00,-11.40
08/28  05:01:00,7.83,0,280.00,-11.40,5.34,0,280.00,-11.40
08/28  05:01:00,6.39,0,280.00,-11.40,5.05,0,280.00,-11.40
08/28  05:01:00,5.93,0,280.00,-11.40,9.24,0,280.00,-11.40
08/28  05:01:00,5.86,0,280.00,-11.40,9.17,0,280.00,-11.40
08/28  05:01:00,6.56,0,280.00,-11.40,9.40,0,280.00,-11.40
08/28  05:01:00,10.81,0,280.00,-11.40,7.51,0,280.00,-11.40
08/28  05:01:00,6.15,0,280.00,-11.40,7.24,0,280.00,-11.40
08/28  05:01:00,7.40,0,280.00,-11.40,4.42,0,280.00,-11.40
08/28  05:01:00,7.84,0,280.00,-11.40,4.58,0,280.00,-11.40
08/28  05:01:00,10.75,0,280.00,-11.40,7.88,0,280.00,-11.40
08/28  05:01:00,7.89,0,280.00,-11.40,4.96,0,280.00,-11.40
08/28  05:01:00,6.40,0,0.00,0.00,8.33,0,0.00,0.00
08/28  05:01:00,10.57,0,0.00,0.00,8.12,0,0.00,0.00
08/28  05:01:00,6.00,0,0.00,0.00,9.48,0,0.00,0.00
08/28  05:02:00,8.95,0,0.00,0.00,5.62,0,0.00,0.00
08/28  05:02:00,5.62,0,0.00,0.00,9.26,0,0.00,0.00
08/28  05:02:00,8.48,0,0.00,0.00,5.88,0,0.00,0.00
08/28  05:02:00,6.75,0,0.00,0.00,8.89,0,0.00,0.00
08/28  05:02:00,10.24,0,0.00,0.00,8.22,0,0.00,0.00
08/28  05:02:00,7.00,0,0.00,0.00,4.96,0,0.00,0.00
08/28  05:03:00,10.84,0,0.00,0.00,8.08,0,0.00,0.00
08/28  05:03:00,6.19,0,0.00,0.00,9.51,0,0.00,0.00
08/28  05:03:00,7.11,0,0.00,0.00,9.74,0,0.00,0.00
08/28  05:03:00,7.81,0,0.00,0.00,5.48,0,0.00,0.00
08/28  05:03:00,5.44,0,0.00,0.00,8.33,0,0.00,0.00
08/28  05:03:00,7.47,0,0.00,0.00,3.99,0,0.00,0.00
08/28  05:04:00,9.18,0,0.00,0.00,5.93,0,0.00,0.00
08/28  05:04:00,6.40,0,0.00,0.00,8.92,0,0.00,0.00
08/28  05:04:00,7.57,0,0.00,0.00,5.07,0,0.00,0.00
08/28  05:04:00,5.74,0,0.00,0.00,9.41,0,0.00,0.00
08/28  05:04:00,8.02,0,0.00,0.00,5.09,0,0.00,0.00
08/28  05:04:00,5.60,0,0.00,0.00,9.08,0,0.00,0.00
08/28  05:05:00,8.45,0,0.00,0.00,5.35,0,0.00,0.00
08/28  05:05:00,6.49,0,0.00,0.00,9.02,0,0.00,0.00
08/28  05:05:00,7.56,0,0.00,0.00,4.79,0,0.00,0.00
08/28  05:05:00,10.48,0,0.00,0.00,8.00,0,0.00,0.00
08/28  05:05:00,6.81,0,0.00,0.00,9.99,0,0.00,0.00
08/28  05:05:00,7.28,0,0.00,0.00,4.53,0,0.00,0.00
08/28  05:06:00,10.56,0,0.00,0.00,7.37,0,0.00,0.00
08/28  05:06:00,7.29,0,0.00,0.00,8.99,0,0.00,0.00
08/28  05:06:00,6.13,0,0.00,0.00,10.01,0,0.00,0.00
08/28  05:06:00,6.92,0,0.00,0.00,4.44,0,0.00,0.00
08/28  05:06:00,9.93,0,0.00,0.00,8.14,0,0.00,0.00
08/28  05:06:00,9.43,0,0.00,0.00,6.75,0,0.00,0.00
08/28  05:07:00,5.84,0,0.00,0.00,6.45,0,0.00,0.00
08/28  05:07:00,6.27,0,0.00,0.00,9.69,0,0.00,0.00
08/28  05:07:00,6.30,0,0.00,0.00,8.95,0,0.00,0.00
08/28  05:07:00,8.41,0,0.00,0.00,8.40,0,0.00,0.00
08/28  05:07:00,10.22,0,0.00,0.00,7.05,0,0.00,0.00
08/28  05:07:00,10.13,0,0.00,0.00,6.64,0,0.00,0.00
08/28  05:08:00,9.16,0,0.00,0.00,6.32,0,0.00,0.00
08/28  05:08:00,10.27,0,0.00,0.00,7.12,0,0.00,0.00
08/28  05:08:00,8.43,0,0.00,0.00,4.95,0,0.00,0.00
08/28  05:08:00,6.31,0,0.00,0.00,9.39,0,0.00,0.00
08/28  05:08:00,5.60,0,0.00,0.00,8.56,0,0.00,0.00
08/28  05:08:00,10.04,0,0.00,0.00,7.67,0,0.00,0.00
08/28  05:09:00,7.05,0,0.00,0.00,4.57,0,0.00,0.00
08/28  05:09:00,6.54,0,0.00,0.00,8.36,0,0.00,0.00
08/28  05:09:00,7.42,0,0.00,0.00,4.73,0,0.00,0.00
08/28  05:09:00,9.91,0,0.00,0.00,6.48,0,0.00,0.00
08/28  05:09:00,7.64,0,0.00,0.00,8.53,0,0.00,0.00
08/28  05:09:00,10.42,0,0.00,0.00,7.91,0,0.00,0.00
08/28  05:10:00,8.67,0,0.00,0.00,5.95,0,0.00,0.00
08/28  05:10:00,6.27,0,0.00,0.00,9.14,0,0.00,0.00
08/28  05:10:00,6.13,0,0.00,0.00,8.31,0,0.00,0.00
08/28  05:10:00,7.06,0,0.00,0.00,5.19,0,0.00,0.00
08/28  05:10:00,9.31,0,0.00,0.00,5.69,0,0.00,0.00
08/28  05:10:00,8.93,0,0.00,0.00,6.10,0,0.00,0.00
08/28  05:11:00,8.74,0,0.00,0.00,5.61,0,0.00,0.00
08/28  05:11:00,6.73,0,0.00,0.00,6.37,0,0.00,0.00
08/28  05:11:00,6.20,0,0.00,0.00,8.72,0,0.00,0.00
08/28  05:11:00,6.98,0,0.00,0.00,8.42,0,0.00,0.00
08/28  05:11:00,6.61,0,0.00,0.00,9.56,0,0.00,0.00
08/28  05:11:00,6.72,0,0.00,0.00,5.68,0,0.00,0.00
08/28  05:12:00,7.42,0,0.00,0.00,5.29,0,0.00,0.00
08/28  05:12:00,9.67,0,0.00,0.00,6.88,0,0.00,0.00
08/28  05:12:00,5.05,0,0.00,0.00,8.85,0,0.00,0.00
08/28  05:12:00,7.65,0,0.00,0.00,4.39,0,0.00,0.00
08/28  05:12:00,6.55,0,0.00,0.00,8.67,0,0.00,0.00
08/28  05:12:00,8.28,0,0.00,0.00,5.16,0,0.00,0.00
08/28  05:13:00,10.59,0,0.00,0.00,7.39,0,0.00,0.00
08/28  05:13:00,6.97,0,0.00,0.00,6.87,0,0.00,0.00
08/28  05:13:00,10.16,0,0.00,0.00,7.10,0,0.00,0.00
08/28  05:13:00,6.97,0,0.00,0.00,4.33,0,0.00,0.00
08/28  05:13:00,6.22,0,0.00,0.00,8.56,0,0.00,0.00
08/28  05:13:00,8.93,0,0.00,0.00,5.89,0,0.00,0.00
08/28  05:14:00,6.19,0,0.00,0.00,7.93,0,0.00,0.00
08/28  05:14:00,6.45,0,0.00,0.00,9.43,0,0.00,0.00
08/28  05:14:00,5.57,0,0.00,0.00,9.67,0,0.00,0.00
08/28  05:14:00,7.53,0,0.00,0.00,4.11,0,0.00,0.00
08/28  05:14:00,9.47,0,0.00,0.00,5.71,0,0.00,0.00
08/28  05:14:00,6.01,0,0.00,0.00,8.66,0,0.00,0.00
08/28  05:15:00,6.89,0,0.00,0.00,9.54,0,0.00,0.00
08/28  05:15:00,8.37,0,0.00,0.00,4.71,0,0.00,0.00
08/28  05:15:00,9.03,0,0.00,0.00,6.45,0,0.00,0.00
08/28  05:15:00,6.92,0,0.00,0.00,9.57,0,0.00,0.00
08/28  05:15:00,10.28,0,0.00,0.00,6.63,0,0.00,0.00
08/28  05:15:00,6.14,0,0.00,0.00,10.05,0,0.00,0.00
08/28  05:16:00,8.52,0,0.00,0.00,5.92,0,0.00,0.00
08/28  05:16:00,11.51,0,0.00,0.00,7.86,0,0.00,0.00
08/28  05:16:00,6.80,0,0.00,0.00,6.18,0,0.00,0.00
08/28  05:16:00,8.50,0,0.00,0.00,8.23,0,0.00,0.00
08/28  05:16:00,8.30,0,0.00,0.00,5.09,0,0.00,0.00
08/28  05:16:00,9.40,0,0.00,0.00,6.17,0,0.00,0.00
08/28  05:17:00,8.29,0,0.00,0.00,4.53,0,0.00,0.00
08/28  05:17:00,6.87,0,0.00,0.00,9.60,0,0.00,0.00
08/28  05:17:00,5.37,0,0.00,0.00,8.77,0,0.00,0.00
08/28  05:17:00,6.12,0,0.00,0.00,8.83,0,0.00,0.00
08/28  05:17:00,9.70,0,0.00,0.00,6.45,0,0.00,0.00
08/28  05:17:00,6.96,0,0.00,0.00,7.96,0,0.00,0.00
08/28  05:18:00,9.37,0,0.00,0.00,6.11,0,0.00,0.00
08/28  05:18:00,6.78,0,0.00,0.00,9.58,0,0.00,0.00
08/28  05:18:00,10.61,0,0.00,0.00,8.40,0,0.00,0.00
08/28  05:18:00,7.53,0,0.00,0.00,4.99,0,0.00,0.00
08/28  05:18:00,6.82,0,0.00,0.00,9.32,0,0.00,0.00
08/28  05:18:00,9.79,0,0.00,0.00,7.31,0,0.00,0.00
08/28  05:19:00,7.01,0,0.00,0.00,4.59,0,0.00,0.00
08/28  05:19:00,9.16,0,0.00,0.00,8.25,0,0.00,0.00
08/28  05:19:00,10.48,0,0.00,0.00,8.85,0,0.00,0.00
08/28  05:19:00,9.44,0,0.00,0.00,8.41,0,0.00,0.00
08/28  05:19:00,7.44,0,0.00,0.00,9.38,0,0.00,0.00
08/28  05:19:00,6.28,0,0.00,0.00,4.22,0,0.00,0.00
08/28  05:20:00,8.72,0,0.00,0.00,5.00,0,0.00,0.00
08/28  05:20:00,9.14,0,0.00,0.00,6.76,0,0.00,0.00
08/28  05:20:00,10.66,0,0.00,0.00,6.94,0,0.00,0.00
08/28  05:20:00,9.01,0,0.00,0.00,5.85,0,0.00,0.00
08/28  05:20:00,7.91,0,0.00,0.00,4.87,0,0.00,0.00
08/28  05:20:00,7.34,0,0.00,0.00,9.63,0,0.00,0.00
08/28  05:21:00,6.69,0,0.00,0.00,8.67,0,0.00,0.00
08/28  05:21:00,8.58,0,0.00,0.00,8.25,0,0.00,0.00
08/28  05:21:00,10.66,0,0.00,0.00,6.89,0,0.00,0.00
08/28  05:21:00,9.79,0,0.00,0.00,5.64,0,0.00,0.00
08/28  05:21:00,10.18,0,0.00,0.00,6.83,0,0.00,0.00
08/28  05:21:00,9.24,0,0.00,0.00,6.09,0,0.00,0.00
08/28  05:22:00,10.71,0,0.00,0.00,7.64,0,0.00,0.00
08/28  05:22:00,6.70,0,0.00,0.00,8.49,0,0.00,0.00
08/28  05:22:00,8.00,0,0.00,0.00,8.00,0,0.00,0.00
08/28  05:22:00,10.29,0,0.00,0.00,9.03,0,0.00,0.00
08/28  05:22:00,5.63,0,0.00,0.00,9.21,0,0.00,0.00
08/28  05:22:00,8.10,0,0.00,0.00,5.35,0,0.00,0.00
08/28  05:23:00,6.17,0,0.00,0.00,9.58,0,0.00,0.00
08/28  05:23:00,6.58,0,0.00,0.00,4.21,0,0.00,0.00
08/28  05:23:00,9.36,0,0.00,0.00,5.69,0,0.00,0.00
08/28  05:23:00,8.98,0,0.00,0.00,5.61,0,0.00,0.00
08/28  05:23:00,8.72,0,0.00,0.00,5.84,0,0.00,0.00
08/28  05:23:00,6.45,0,0.00,0.00,9.61,0,0.00,0.00
08/28  05:24:00,9.71,0,0.00,0.00,6.08,0,0.00,0.00
08/28  05:24:00,7.97,0,0.00,0.00,4.91,0,0.00,0.00
08/28  05:24:00,8.37,0,0.00,0.00,4.65,0,0.00,0.00
08/28  05:24:00,6.71,0,0.00,0.00,9.87,0,0.00,0.00
08/28  05:24:00,9.92,0,0.00,0.00,7.00,0,0.00,0.00
08/28  05:24:00,8.18,0,0.00,0.00,5.44,0,0.00,0.00
08/28  05:25:00,8.37,0,0.00,0.00,4.45,0,0.00,0.00
08/28  05:25:00,8.14,0,0.00,0.00,5.91,0,0.00,0.00
08/28  05:25:00,7.78,0,0.00,0.00,5.16,0,0.00,0.00
08/28  05:25:00,7.71,0,0.00,0.00,9.27,0,0.00,0.00
08/28  05:25:00,9.27,0,0.00,0.00,6.49,0,0.00,0.00
08/28  05:25:00,5.88,0,0.00,0.00,9.56,0,0.00,0.00
08/28  05:26:00,8.20,0,0.00,0.00,5.00,0,0.00,0.00
08/28  05:26:00,7.08,0,0.00,0.00,8.61,0,0.00,0.00
08/28  05:26:00,10.05,0,0.00,0.00,8.55,0,0.00,0.00
08/28  05:26:00,9.31,0,0.00,0.00,5.09,0,0.00,0.00
08/28  05:26:00,6.35,0,0.00,0.00,8.91,0,0.00,0.00
08/28  05:26:00,7.59,0,0.00,0.00,4.56,0,0.00,0.00
08/28  05:27:00,10.59,0,0.00,0.00,7.59,0,0.00,0.00
08/28  05:27:00,9.52,0,0.00,0.00,6.18,0,0.00,0.00
08/28  05:27:00,6.83,0,0.00,0.00,9.57,0,0.00,0.00
08/28  05:27:00,8.44,0,0.00,0.00,5.99,0,0.00,0.00
08/28  05:27:00,10.30,0,0.00,0.00,8.13,0,0.00,0.00
08/28  05:27:00,7.23,0,0.00,0.00,9.16,0,0.00,0.00
08/28  05:28:00,9.34,0,0.00,0.00,8.52,0,0.00,0.00
08/28  05:28:00,9.17,0,0.00,0.00,8.19,0,0.00,0.00
08/28  05:28:00,7.43,0,0.00,0.00,9.60,0,0.00,0.00
08/28  05:28:00,8.62,0,0.00,0.00,5.50,0,0.00,0.00
08/28  05:28:00,10.77,0,0.00,0.00,8.15,0,0.00,0.00
08/28  05:28:00,7.69,0,0.00,0.00,5.11,0,0.00,0.00
08/28  05:29:00,7.36,0,0.00,0.00,4.88,0,0.00,0.00
08/28  05:29:00,8.29,0,0.00,0.00,5.64,0,0.00,0.00
08/28  05:29:00,10.07,0,0.00,0.00,7.45,0,0.00,0.00
08/28  05:29:00,6.47,0,0.00,0.00,9.40,0,0.00,0.00
08/28  05:29:00,6.90,0,0.00,0.00,4.35,0,0.00,0.00
08/28  05:29:00,10.30,0,0.00,0.00,8.07,0,0.00,0.00
08/28  05:30:00,7.99,0,0.00,0.00,9.41,0,0.00,0.00
08/28  05:30:00,6.63,0,0.00,0.00,6.32,0,0.00,0.00
08/28  05:30:00,7.08,0,0.00,0.00,8.35,0,0.00,0.00
08/28  05:30:00,6.89,0,0.00,0.00,8.21,0,0.00,0.00
08/28  05:30:00,7.07,0,0.00,0.00,9.58,0,0.00,0.00
08/28  05:30:00,6.29,0,0.00,0.00,9.02,0,0.00,0.00
08/28  05:31:00,10.05,0,0.00,0.00,5.55,0,0.00,0.00
08/28  05:31:00,6.50,0,0.00,0.00,4.68,0,0.00,0.00
08/28  05:31:00,10.16,0,0.00,0.00,7.39,0,0.00,0.00
08/28  05:31:00,6.81,0,0.00,0.00,9.44,0,0.00,0.00
08/28  05:31:00,10.41,0,0.00,0.00,7.85,0,0.00,0.00
08/28  05:31:00,9.39,0,0.00,0.00,6.21,0,0.00,0.00
08/28  05:32:00,6.45,0,0.00,0.00,9.69,0,0.00,0.00
08/28  05:32:00,8.28,0,0.00,0.00,9.34,0,0.00,0.00
08/28  05:32:00,7.01,0,0.00,0.00,9.79,0,0.00,0.00
08/28  05:32:00,10.11,0,0.00,0.00,7.03,0,0.00,0.00
08/28  05:32:00,9.67,0,0.00,0.00,6.17,0,0.00,0.00
08/28  05:32:00,9.37,0,0.00,0.00,5.41,0,0.00,0.00
08/28  05:33:00,6.84,0,0.00,0.00,9.44,0,0.00,0.00
08/28  05:33:00,10.74,0,0.00,0.00,7.69,0,0.00,0.00
08/28  05:33:00,7.98,0,0.00,0.00,5.83,0,0.00,0.00
08/28  05:33:00,10.47,0,0.00,0.00,8.16,0,0.00,0.00
08/28  05:33:00,7.48,0,0.00,0.00,9.68,0,0.00,0.00
08/28  05:33:00,7.18,0,0.00,0.00,4.51,0,0.00,0.00
08/28  05:34:00,9.57,0,0.00,0.00,6.29,0,0.00,0.00
08/28  05:34:00,5.52,0,0.00,0.00,9.45,0,0.00,0.00
08/28  05:34:00,9.60,0,0.00,0.00,6.86,0,0.00,0.00
08/28  05:34:00,7.42,0,0.00,0.00,4.68,0,0.00,0.00
08/28  05:34:00,9.69,0,0.00,0.00,6.69,0,0.00,0.00
08/28  05:34:00,9.59,0,0.00,0.00,8.72,0,0.00,0.00
08/28  05:35:00,7.58,0,0.00,0.00,4.76,0,0.00,0.00
08/28  05:35:00,10.00,0,0.00,0.00,8.34,0,0.00,0.00
08/28  05:35:00,8.17,0,0.00,0.00,5.32,0,0.00,0.00
08/28  05:35:00,6.36,0,0.00,0.00,9.38,0,0.00,0.00
08/28  05:35:00,8.00,0,0.00,0.00,5.22,0,0.00,0.00
08/28  05:35:00,10.10,0,0.00,0.00,6.13,0,0.00,0.00
08/28  05:36:00,10.70,0,0.00,0.00,8.38,0,0.00,0.00
08/28  05:36:00,9.35,0,0.00,0.00,9.77,0,0.00,0.00
08/28  05:36:00,9.01,0,0.00,0.00,9.89,0,0.00,0.00
08/28  05:36:00,10.47,0,0.00,0.00,8.63,0,0.00,0.00
08/28  05:36:00,10.45,0,0.00,0.00,7.93,0,0.00,0.00
08/28  05:36:00,8.16,0,0.00,0.00,4.94,0,0.00,0.00
08/28  05:37:00,7.16,0,0.00,0.00,9.11,0,0.00,0.00
08/28  05:37:00,9.65,0,0.00,0.00,6.72,0,0.00,0.00
08/28  05:37:00,8.97,0,0.00,0.00,6.02,0,0.00,0.00
08/28  05:37:00,10.93,0,0.00,0.00,8.35,0,0.00,0.00
08/28  05:37:00,8.81,0,0.00,0.00,6.36,0,0.00,0.00
08/28  05:37:00,6.47,0,0.00,0.00,5.37,0,0.00,0.00
08/28  05:38:00,6.91,0,0.00,0.00,9.02,0,0.00,0.00
08/28  05:38:00,9.34,0,0.00,0.00,8.42,0,0.00,0.00
08/28  05:38:00,11.75,0,0.00,0.00,8.03,0,0.00,0.00
08/28  05:38:00,9.03,0,0.00,0.00,6.44,0,0.00,0.00
08/28  05:38:00,7.38,0,0.00,0.00,8.82,0,0.00,0.00
08/28  05:38:00,7.17,0,0.00,0.00,4.94,0,0.00,0.00
08/28  05:39:00,7.30,0,0.00,0.00,9.81,0,0.00,0.00
08/28  05:39:00,6.71,0,0.00,0.00,8.73,0,0.00,0.00
08/28  05:39:00,9.90,0,0.00,0.00,7.82,0,0.00,0.00
08/28  05:39:00,8.90,0,0.00,0.00,6.31,0,0.00,0.00
08/28  05:39:00,9.80,0,0.00,0.00,6.55,0,0.00,0.00
08/28  05:39:00,8.79,0,0.00,0.00,6.42,0,0.00,0.00
08/28  05:40:00,7.29,0,0.00,0.00,4.70,0,0.00,0.00
08/28  05:40:00,6.74,0,0.00,0.00,9.88,0,0.00,0.00
08/28  05:40:00,7.67,0,0.00,0.00,4.43,0,0.00,0.00
08/28  05:40:00,7.98,0,0.00,0.00,5.20,0,0.00,0.00
08/28  05:40:00,7.89,0,0.00,0.00,5.39,0,0.00,0.00
08/28  05:40:00,8.57,0,0.00,0.00,6.19,0,0.00,0.00
08/28  05:41:00,10.25,0,0.00,0.00,7.11,0,0.00,0.00
08/28  05:41:00,6.62,0,0.00,0.00,9.51,0,0.00,0.00
08/28  05:41:00,9.90,0,0.00,0.00,6.50,0,0.00,0.00
08/28  05:41:00,9.07,0,0.00,0.00,4.88,0,0.00,0.00
08/28  05:41:00,7.01,0,0.00,0.00,9.78,0,0.00,0.00
08/28  05:41:00,9.74,0,0.00,0.00,8.03,0,0.00,0.00
08/28  05:42:00,7.66,0,0.00,0.00,8.85,0,0.00,0.00
08/28  05:42:00,8.13,0,0.00,0.00,5.95,0,0.00,0.00
08/28  05:42:00,11.44,0,0.00,0.00,8.13,0,0.00,0.00
08/28  05:42:00,7.97,0,0.00,0.00,9.60,0,0.00,0.00
08/28  05:42:00,8.30,0,0.00,0.00,9.64,0,0.00,0.00
08/28  05:42:00,5.56,0,0.00,0.00,9.26,0,0.00,0.00
08/28  05:43:00,9.07,0,0.00,0.00,6.46,0,0.00,0.00
08/28  05:43:00,7.88,0,0.00,0.00,9.29,0,0.00,0.00
08/28  05:43:00,6.25,0,0.00,0.00,7.10,0,0.00,0.00
08/28  05:43:00,11.04,0,0.00,0.00,7.44,0,0.00,0.00
08/28  05:43:00,8.68,0,0.00,0.00,6.32,0,0.00,0.00
08/28  05:43:00,8.36,0,0.00,0.00,5.51,0,0.00,0.00
08/28  05:44:00,10.94,0,0.00,0.00,6.84,0,0.00,0.00
08/28  05:44:00,7.12,0,0.00,0.00,5.00,0,0.00,0.00
08/28  05:44:00,6.34,0,0.00,0.00,8.21,0,0.00,0.00
08/28  05:44:00,6.75,0,0.00,0.00,9.43,0,0.00,0.00
